mes,bal001,bal002,bal003,bal004,bal005,bal006,bal007,bal008,bal009,bal010,bal011,bal012,bal013,bal014,bal015,bal016,bal017,bal018,bal019,bal020,bal021,bal023,bal024,bal025,bal026,bal027,bal028,bal029,bal030,bal031,bal032,bal033,bal034,bal035,bal036,bal037,bal038,bal039,bal040,bal041,bal042,bal043,bal044,bal045,bal046,bal047,bal048,bal049,bal050,bal051,bal052,bal053
2003-01,734.99579999999992,1128.9962,1935.2896000000001,806.29340000000002,-31.889100000000042,262.92309999999998,294.81220000000002,-378.78890000000001,-315.28160000000003,20.910599999999999,336.19220000000001,6.1,124.9,205.19220000000001,0,-63.507300000000001,5.2027999999999999,68.710099999999997,16.677599999999998,54.172899999999998,37.4953,0,-1871.1958,44.127400000000002,44.127400000000002,0,36.342400000000005,38.488100000000003,2.1457000000000002,9.427599999999984,486.48599999999999,477.05840000000001,-64.880000000000109,1026.6199999999999,1091.5,-1510.0692208969911,99.472756103008976,1609.5419770000001,-254.66609999999991,565.97310000000004,820.63919999999996,-5.9040999999999997,-112.528227,-0.8964776853199018,0,0.4,-12.549074417689042,0,-1136.2,-1150,-13.8,0
2003-02,407.68150000000009,868.41120000000001,1634.9464,766.53520000000003,-6.5117999999999938,191.91329999999999,198.42509999999999,-470.24349999999993,-442.69289999999995,15.128800000000002,457.82169999999996,176.50299999999999,93.2,118.1187,70,-27.550599999999999,2.2012999999999998,29.751899999999999,16.025600000000001,36.403300000000002,20.377700000000001,-1.4E-3,561.41989999999987,34.641800000000003,34.641800000000003,0,27.036200000000001,29.389900000000001,2.3536999999999999,8.972500000000025,344.21800000000002,335.24549999999999,0,0,0,833.86920000000009,1012.0732,178.20400000000001,-326.94560000000001,484.71339999999998,811.65899999999999,-2.5489999999999999,-112.528227,16.873254070969477,0,-0.89999999999999991,82.949772929030303,0,969.1,963,-6.1,0
2003-03,795.55909999999994,958.69399999999996,1851.4801,892.78610000000003,-12.468799999999987,228.0018,240.47059999999999,-165.99760000000003,-143.26260000000002,18.924999999999997,162.1876,1.1000000000000001,64.2,96.887600000000006,0,-22.734999999999999,8.7233999999999998,31.458400000000001,15.331499999999998,38.095799999999997,22.764299999999999,-0.13189999999999999,-558.72720000000004,39.8354,39.8354,0,19.6294,21.529,1.8996,10.674300000000017,596.03309999999999,585.35879999999997,241.2,307,65.8,-251.9255,46.199100000000001,298.12459999999999,-603.42809999999986,575.02070000000003,1178.4487999999999,0.93869999999999998,-82.248952000000003,55.617422476777996,0,0,10.980129523221741,0,236.7,228,-8.6999999999999993,0
2003-04,850.97039999999981,1134.7326999999998,2103.9391999999998,969.20650000000001,-67.644800000000004,217.82169999999999,285.4665,-234.48439999999999,-144.14920000000001,17.8811,162.03030000000001,0,14.9,147.13030000000001,0,-90.3352,17.792400000000001,108.1276,18.366899999999998,41.307099999999998,22.940200000000001,0,-408.47039999999981,50.418100000000003,50.418100000000003,0,82.857900000000001,91.424599999999998,8.5667000000000009,-7.5274000000000569,714.83529999999996,722.36270000000002,-87.5,0,87.5,163.7501,236.0831,72.332999999999998,-614.34899999999993,581.41030000000001,1195.7592999999999,14.6905,34.073306000000002,17.267350654882577,0,10.6,-72.751256654882326,0,442.5,455,12.5,0
2003-05,965.29390000000024,1445.4277000000002,2437.0378000000001,991.61009999999999,-10.589699999999993,262.56200000000001,273.15170000000001,-491.67829999999998,-414.46709999999996,19.960600000000003,434.42769999999996,166,83.635000000000005,177.39269999999999,7.4,-77.211200000000005,2.5790000000000002,79.790199999999999,22.1342,60.469799999999999,38.335599999999999,0,-592.89390000000026,147.9014,147.9014,0,98.5779,108.9623,10.384399999999999,-28.600699999999961,685.91600000000005,714.51670000000001,-148.30000000000001,0,148.30000000000001,-86.412399999999934,638.72919999999999,725.14159999999993,-383.48069999999996,779.21420000000001,1162.6949,9.9008000000000003,-17.892195000000001,-63.783375116285505,0,-266,145.19537011628509,0,372.4,402,29.6,0
2003-06,1141.0484000000001,1463.5754000000002,2434.6012000000001,971.0258,-44.629100000000022,210.23159999999999,254.86070000000001,-296.10720000000003,-206.66180000000003,17.666499999999999,224.32830000000001,0,109.05,115.2783,0,-89.445400000000006,6.3278999999999996,95.773300000000006,18.209300000000002,45.462400000000002,27.2531,0,-303.94840000000011,79.812700000000007,79.812700000000007,0,49.753300000000003,52.8337,3.0804,-116.15729999999996,707.75,823.90729999999996,302.09999999999997,332.29999999999995,30.2,-470.32740000000001,235.03499999999997,705.36239999999998,-60.000900000000001,806.68539999999996,866.68629999999996,8.1767000000000003,39.513910000000003,-153.25949515816814,0,0,16.440085158168046,0,837.1,810,-27.1,0
2003-07,977.79460000000017,1234.8250000000003,2363.4385000000002,1128.6134999999999,-4.7373000000000047,252.57089999999999,257.3082,-274.32370000000003,-74.565600000000018,17.8765,92.442100000000011,3.7,5.9,82.842100000000002,0,-199.75810000000001,4.7744,204.5325,22.030600000000003,50.393900000000002,28.363299999999999,-5.9999999999999995E-4,360.8059999999997,69.553100000000001,69.553100000000001,0,-29.076799999999999,22.3613,51.438099999999999,-99.485199999999992,83.506799999999998,182.99199999999999,19.100000000000136,1048.9000000000001,1029.8,629.70299999999997,746.8424,117.13940000000001,-250.95940000000007,663.78689999999995,914.74630000000002,4.3773,5.9667479999999999,-48.932553775734419,0,0,60.559805775734119,0,1338.6,1301,-37.6,0
2003-08,398.28301699999997,916.89660000000003,1954.0595000000001,1037.1629,-54.63360000000003,214.0377,268.67130000000003,-484.78628300000003,-416.90258300000005,22.8887,439.79128300000002,164.1,59.6,137.3698,78.721483000000006,-67.883700000000005,5.3617999999999997,73.245500000000007,20.8063,47.336500000000001,26.530200000000001,-3.5000000000000001E-3,-246.679517,108.32429999999999,108.32429999999999,0,-31.124899999999997,12.780900000000001,43.905799999999999,-327.03449999999998,144.51759999999999,471.5521,311.5,311.5,0,-74.258999999999986,38.895699999999998,113.15469999999999,-366.39480000000003,700.32870000000003,1066.7235000000001,10.5084,40.233986999999999,-1.1274776552703079,0,-1.2999999999999998,83.994473655270312,0,151.6,99,-52.6,0
2003-09,516.1613000000001,754.54269999999997,1960.6033,1206.0606,-48.187099999999958,246.07689999999999,294.26399999999995,-210.99279999999996,-183.15829999999997,20.574400000000001,203.73269999999997,79.099999999999994,55.3,69.332700000000003,0,-27.834499999999998,8.6266999999999996,36.461199999999998,20.798500000000004,46.343200000000003,25.544699999999999,0,-770.49130000000014,58.834400000000002,58.834400000000002,0,30.896800000000002,33.279600000000002,2.3828,-171.0822,67.070899999999995,238.15309999999999,-316.40000000000009,2591.6,2908,2.3606000000000193,117.91570000000002,115.5551,-592.59580000000005,606.04899999999998,1198.6448,2.1276999999999999,111.43677099999999,0.15313401237023749,0,0,103.77729498762986,0,-254.32999999999998,-178,76.33,0
2003-10,797.51919999999973,1044.0343999999998,2195.7305999999999,1151.6962000000001,-35.420200000000023,300.41289999999998,335.8331,-233.63430000000002,-172.72410000000002,23.601600000000001,196.32570000000001,0,101.935,85.090699999999998,9.3000000000000007,-60.910200000000003,7.8087,68.718900000000005,22.539300000000001,52.363500000000002,29.824200000000001,0,-1295.9591999999998,63.669400000000003,63.669400000000003,0,27.4254,29.277999999999999,1.8526,-147.87469999999999,84.469300000000004,232.34399999999999,-92,0,92,-685.76149999999984,113.65840000000001,799.41989999999987,-227.58409999999992,679.68010000000004,907.26419999999996,-7.2474999999999996,-103.017825,-0.29087721115891013,0,-3.5,-119.77749778884109,0,-498.44,-503.9,-5.46,0
