mes,mlc001,mlc002,mlc003,mlc004,mlc005,mlc006,mlc007,mlc008,mlc009,mlc010,mlc011,mlc012,mlc013,mlc014,mlc015,mlc016,mlc017,mlc018,mlc019,mlc020,mlc021,mlc022,mlc023,mlc024,mlc025,mlc026,mlc027,mlc028,mlc029,mlc030,mlc031,mlc032,mlc033,mlc034,mlc035,mlc036,mlc037,mlc038,mlc039,mlc040,mlc041,mlc042,mlc043,mlc044,mlc045,mlc046,mlc047,mlc048,mlc049,mlc050,mlc051,mlc052,mlc053,mlc054,mlc055,mlc056,mlc057,mlc058,mlc059,mlc060,mlc061,mlc062,mlc063,mlc064,mlc065,mlc066,mlc067,mlc068,mlc069,mlc070,mlc071,mlc072,mlc073,mlc074,mlc075,mlc076,mlc077,mlc078,mlc079,mlc080,mlc081,mlc082,mlc083,mlc084,mlc085,mlc086,mlc087,mlc088,mlc089,mlc090,mlc091,mlc092,mlc093,mlc094,mlc095,mlc096,mlc097,mlc098,mlc099,mlc100,mlc101
2003-01,622.84,850.69579999999996,1128.9962,1935.2896000000001,1306.2112,373.17930000000001,15.1089,237.97710000000001,2.8130000000000002,-806.29340000000002,-167.09739999999999,-64.412099999999995,-574.78380000000004,-31.889099999999999,262.92309999999998,74.880399999999995,70.740300000000005,2.7389999999999999,1.1011,30.8216,32.419400000000003,0.93479999999999996,11.2447,1.5622,5.4375,4.3952999999999998,0.46810000000000002,4.5674999999999999,4.2435,17.367699999999999,0,-294.81220000000002,-29.2624,-48.985900000000001,-12.407500000000001,-18.185700000000001,-15.4259,-42.357199999999999,-25.3733,-4.9473000000000003,-17.6495,-9.2308000000000003,-0.2515,-6.5209999999999999,-40.789900000000003,-2.9438,-20.480399999999999,0,-263.08890000000002,10.8134,5.6105999999999998,4.7827000000000002,0.42009999999999997,0,-273.90230000000003,-205.19220000000001,-68.710099999999997,0,0,16.677600000000002,54.172899999999998,-37.4953,0,0,0,-227.85589999999999,80.469800000000006,82.615499999999997,44.127400000000002,0,38.488100000000003,-2.1457000000000002,0,0,-2.1457000000000002,-30.769500000000001,487.95839999999998,1.4723999999999999,486.48599999999999,0,0,-518.72789999999998,-41.669499999999999,-477.05840000000001,0,0,-254.6661,565.97310000000004,451.95699999999999,0,114.01609999999999,-820.63919999999996,-687.34590000000003,-0.79869999999999997,-132.49459999999999,-5.9040999999999997,0,0,-16.986000000000001,0,0
2003-02,447.97770000000003,733.3845,868.41120000000001,1634.9464,1087.1423,330.6499,22.122,189.28059999999999,5.7516999999999996,-766.53520000000003,-188.9187,-53.366199999999999,-524.25019999999995,-6.5118,191.91329999999999,58.894399999999997,49.056800000000003,3.2397,2.3020999999999998,18.473299999999998,22.7807,0.5262,12.1496,1.2889999999999999,8.4072999999999993,1.1540999999999999,0.41070000000000001,2.2433999999999998,2.8134000000000001,8.1724999999999994,0,-198.42509999999999,-32.110500000000002,-32.351399999999998,-7.1721000000000004,-13.345800000000001,-8.7364999999999995,-34.713299999999997,-15.583,-4.2234999999999996,-19.339400000000001,-6.9532999999999996,-0.12920000000000001,-3.0699000000000001,-4.2126000000000001,-1.9071,-14.577500000000001,0,-144.54050000000001,3.3300999999999998,1.1288,1.883,0.31830000000000003,0,-147.8706,-118.1187,-29.751899999999999,0,0,16.025600000000001,36.403300000000002,-20.377700000000001,-1.4E-3,0,-1.4E-3,-285.40539999999999,61.677999999999997,64.031700000000001,34.641800000000003,0,29.389900000000001,-2.3536999999999999,0,0,-2.3536999999999999,-22.072900000000001,345.47660000000002,1.2585999999999999,344.21800000000002,0,0,-367.54950000000002,-32.304000000000002,-335.24549999999999,0,0,-326.94549999999998,484.71339999999998,391.13339999999999,0,93.58,-811.65890000000002,-641.40779999999995,-24.224399999999999,-146.02670000000001,-2.5489999999999999,0,0,4.484,0,0
2003-03,330.42649999999998,848.75900000000001,958.69399999999996,1851.4801,1235.6840999999999,403.98099999999999,16.8125,192.3194,2.6831,-892.78610000000003,-207.5044,-90.368700000000004,-594.91300000000001,-12.4688,228.0018,65.278499999999994,59.069600000000001,4.1432000000000002,1.7191000000000001,26.816199999999998,24.552900000000001,0.59179999999999999,11.6821,6.1548999999999996,7.6414,2.1655000000000002,0.67110000000000003,2.6139999999999999,3.3628,11.5387,0,-240.47059999999999,-26.9,-51.884300000000003,-9.5223999999999993,-19.338999999999999,-16.5776,-44.407600000000002,-17.785299999999999,-4.9592000000000001,-13.1958,-7.3109999999999999,-0.19520000000000001,-2.9150999999999998,-6.9005000000000001,-3.0266000000000002,-15.5511,0,-112.79770000000001,15.548299999999999,6.8250000000000002,8.2103000000000002,0.51300000000000001,0,-128.346,-96.887600000000006,-31.458400000000001,0,0,15.3315,38.095799999999997,-22.764299999999999,-0.13189999999999999,0,-0.13189999999999999,-518.20069999999998,59.464799999999997,61.364400000000003,39.8354,0,21.529,-1.8996,0,0,-1.8996,-21.889099999999999,596.09069999999997,5.7599999999999998E-2,596.03309999999999,0,0,-617.97979999999995,-32.621000000000002,-585.35879999999997,0,0,-603.428,575.02080000000001,459.59440000000001,0,115.4264,-1178.4487999999999,-744.87099999999998,-1.6777,-431.90010000000001,0.93869999999999998,0,0,46.712899999999998,0,0
2003-04,335.59410000000003,849.57039999999995,1134.7327,2103.9391999999998,1215.6500000000001,578.83489999999995,29.8916,275.86739999999998,3.6953,-969.20650000000001,-206.24950000000001,-115.21720000000001,-647.73979999999995,-67.044799999999995,217.82169999999999,62.319400000000002,54.660299999999999,4.4522000000000004,1.1536,32.265999999999998,20.274799999999999,0.93810000000000004,12.782299999999999,1.8258000000000001,5.7628000000000004,0.60750000000000004,0.66020000000000001,2.7625000000000002,3.9579,13.398400000000001,0,-284.86649999999997,-33.677399999999999,-50.8568,-10.4026,-20.904399999999999,-25.721399999999999,-45.833399999999997,-17.574999999999999,-5.5538999999999996,-17.850200000000001,-9.4801000000000002,-1.1821999999999999,-4.7068000000000003,-7.883,-2.7328000000000001,-30.506499999999999,0,-236.48439999999999,18.773499999999999,0.98109999999999997,17.2834,0.50900000000000001,0,-255.25790000000001,-147.13030000000001,-108.1276,0,0,18.366900000000001,41.307099999999998,-22.940200000000001,0,0,0,-513.97630000000004,133.27600000000001,141.84270000000001,50.418100000000003,0,91.424599999999998,-8.5667000000000009,0,0,-8.5667000000000009,-37.837800000000001,715.15790000000004,0.3226,714.83529999999996,0,0,-752.99570000000006,-30.632999999999999,-722.36270000000002,0,0,-614.34910000000002,581.41030000000001,460.18880000000001,0,121.22150000000001,-1195.7593999999999,-951.0684,-1.5754999999999999,-243.1155,14.6905,0,0,-9.7559000000000005,0,0
2003-05,929.95920000000001,1203.6288999999999,1445.4277,2437.0378000000001,1380.0805,658.36099999999999,25.846,370.16789999999997,2.5825,-991.61009999999999,-225.58680000000001,-150.54810000000001,-615.47519999999997,-10.589700000000001,262.56200000000001,54.729399999999998,74.473100000000002,4.5063000000000004,1.3816999999999999,39.201099999999997,29.832999999999998,1.5109999999999999,17.4541,1.9959,5.5566000000000004,1.3031999999999999,0.54959999999999998,6.6287000000000003,3.5712000000000002,19.8672,0,-273.15170000000001,-33.281999999999996,-33.904200000000003,-9.8163999999999998,-17.361599999999999,-27.265999999999998,-45.070999999999998,-28.122199999999999,-6.5635000000000003,-10.7524,-7.4425999999999997,-0.49390000000000001,-3.9786000000000001,-3.9975000000000001,-2.7124999999999999,-42.3874,0,-253.3433,3.8395999999999999,1.2605999999999999,1.982,0.59699999999999998,0,-257.18290000000002,-177.39269999999999,-79.790199999999999,0,0,22.1342,60.469799999999999,-38.335599999999999,0,0,0,-273.66980000000001,246.47929999999999,256.86369999999999,147.9014,0,108.9623,-10.384399999999999,0,0,-10.384399999999999,-77.850099999999998,686.26049999999998,0.34449999999999997,685.91600000000005,0,0,-764.11059999999998,-49.593899999999998,-714.51670000000001,0,0,-383.48070000000001,779.21420000000001,510.33589999999998,0,268.87830000000002,-1162.6949,-853.9588,-5.2203999999999997,-303.51569999999998,9.9008000000000003,0,0,-68.719099999999997,0,0
2003-06,1012.7187,1234.7982999999999,1463.5753999999999,2434.6012000000001,1507.5350000000001,623.28549999999996,43.971299999999999,255.08029999999999,4.7290999999999999,-971.0258,-223.57220000000001,-141.3596,-606.09410000000003,-44.629100000000001,210.23159999999999,50.7592,65.658900000000003,2.79,1.5589999999999999,25.6035,22.3872,1.0479000000000001,15.6029,1.3540000000000001,6.3029999999999999,0.42009999999999997,0.51380000000000003,2.3555999999999999,2.2061999999999999,11.670500000000001,0,-254.86070000000001,-30.742699999999999,-37.222099999999998,-12.146699999999999,-14.2646,-17.078299999999999,-45.793999999999997,-30.421800000000001,-4.2003000000000004,-6.8129999999999997,-7.9836,-1.52E-2,-4.3749000000000002,-12.378299999999999,-2.4009,-29.0245,0,-202.35730000000001,8.6943000000000001,2.3664999999999998,5.4170999999999996,0.91069999999999995,0,-211.05160000000001,-115.2783,-95.773300000000006,0,0,18.209299999999999,45.462400000000002,-27.2531,0,0,0,-222.07960000000003,129.566,132.6464,79.812700000000007,0,52.8337,-3.0804,0,0,-3.0804,-137.09870000000001,734.58500000000004,26.835000000000001,707.75,0,0,-871.68370000000004,-47.776400000000002,-823.90729999999996,0,0,-60.000999999999998,806.68539999999996,486.6155,0,320.06990000000002,-866.68640000000005,-597.53480000000002,-2.1606999999999998,-266.99090000000001,8.1767000000000003,0,0,-162.7226,0,0
2003-07,593.51559999999995,972.49450000000002,1234.825,2363.4385000000002,1508.4737,499.34449999999998,57.922899999999998,294.05009999999999,3.6475,-1128.6134999999999,-282.88490000000002,-175.14699999999999,-670.58169999999996,-4.5373000000000001,252.57089999999999,71.989500000000007,60.412199999999999,3.1335000000000002,2.0049000000000001,27.014800000000001,41.1312,0.83650000000000002,15.8711,2.4586000000000001,4.4622999999999999,1.7269000000000001,0.26910000000000001,3.9159999999999999,7.8202999999999996,9.5237999999999996,0,-257.10820000000001,-39.643900000000002,-33.796700000000001,-6.9383999999999997,-16.116499999999998,-10.1929,-51.335999999999999,-33.393000000000001,-8.0230999999999995,-13.997999999999999,-7.2138999999999998,-5.3999999999999999E-2,-5.2874999999999996,-4.8333000000000004,-4.3754999999999997,-21.9055,0,-279.82380000000001,7.5507999999999997,2.7765,4.1814999999999998,0.59279999999999999,0,-287.37459999999999,-82.842100000000002,-204.5325,0,0,22.0306,50.393900000000002,-28.363299999999999,-5.9999999999999995E-4,0,-5.9999999999999995E-4,-378.97829999999999,40.476300000000002,91.914400000000001,69.553100000000001,0,22.3613,-51.438099999999999,0,0,-51.438099999999999,-111.64449999999999,107.4438,23.937000000000001,83.506799999999998,0,0,-219.0883,-36.096299999999999,-182.99199999999999,0,0,-250.95930000000001,663.78700000000003,512.66030000000001,0,151.1267,-914.74630000000002,-592.5806,-3.1968999999999999,-318.96879999999999,4.3773,0,0,-61.228099999999998,0,0
2003-08,70.150300000000001,682.60450000000003,916.89660000000003,1954.0595000000001,1390.4148,383.71519999999998,54.564999999999998,122.2345,3.1301000000000001,-1037.1629,-231.6815,-131.5752,-673.90620000000001,-54.333599999999997,214.0377,63.802900000000001,57.402799999999999,4.1604000000000001,1.2314000000000001,24.0655,19.693000000000001,0.89670000000000005,12.765000000000001,1.1185,9.4250000000000007,1.4858,0.81430000000000002,3.1741000000000001,5.5491000000000001,8.4530999999999992,0,-268.37130000000002,-38.026400000000002,-40.3093,-7.0709,-13.3599,-9.7065000000000001,-50.962899999999998,-28.708200000000001,-4.6539000000000001,-30.898499999999999,-9.3001000000000005,-2.0500000000000001E-2,-3.4740000000000002,-10.7653,-3.3662999999999998,-17.7486,0,-200.76480000000001,9.8505000000000003,4.4886999999999997,4.8452000000000002,0.51659999999999995,0,-210.61529999999999,-137.3698,-73.245500000000007,0,0,20.8063,47.336500000000001,-26.530200000000001,-3.5000000000000001E-3,0,-3.5000000000000001E-3,-612.45079999999996,77.199399999999997,121.1052,108.32429999999999,0,12.780900000000001,-43.905799999999999,0,0,-43.905799999999999,-316.67290000000003,184.93389999999999,40.4163,144.51759999999999,0,0,-501.60680000000002,-30.0547,-471.5521,0,0,-366.39479999999998,700.32860000000005,464.32600000000002,0,236.0026,-1066.7234000000001,-628.19929999999999,-3.2139000000000002,-435.31020000000001,10.5084,0,0,-17.090900000000001,0,0
2003-09,-13.6883,634.06129999999996,754.54269999999997,1960.6033,1275.1802,412.68020000000001,51.497799999999998,217.43729999999999,3.8077999999999999,-1206.0606,-286.43130000000002,-153.1258,-766.50350000000003,-47.787100000000002,246.07689999999999,63.646000000000001,61.595700000000001,3.7715999999999998,1.4961,41.471600000000002,23.2196,0.75980000000000003,12.601100000000001,5.2941000000000003,8.2402999999999995,5.6059999999999999,0.55169999999999997,2.8967999999999998,5.3954000000000004,9.5312000000000001,0,-293.86399999999998,-41.5214,-56.747100000000003,-14.1905,-14.3695,-13.272500000000001,-55.903799999999997,-32.3172,-7.6136999999999997,-9.8476999999999997,-9.3507999999999996,-4.7100000000000003E-2,-5.3829000000000002,-5.6429,-5.7298999999999998,-21.927099999999999,0,-93.492800000000003,12.3011,3.6743999999999999,7.8292000000000002,0.79749999999999999,0,-105.79389999999999,-69.332700000000003,-36.461199999999998,0,0,20.798500000000001,46.343200000000003,-25.544699999999999,0,0,0,-647.7494999999999,89.731200000000001,92.114000000000004,58.834400000000002,0,33.279600000000002,-2.3828,0,0,-2.3828,-129.55529999999999,135.0438,67.972899999999996,67.070899999999995,0,0,-264.59910000000002,-26.446000000000002,-238.15309999999999,0,0,-592.59569999999997,606.04909999999995,488.8494,0,117.19970000000001,-1198.6448,-757.47270000000003,-5.5189000000000004,-435.65320000000003,2.1276999999999999,0,0,-17.4574,0,0
2003-10,626.18370000000004,887.75409999999999,1044.0344,2195.7305999999999,1383.3203000000001,443.17919999999998,75.177099999999996,289.59269999999998,4.4611999999999998,-1151.6962000000001,-292.93060000000003,-155.90090000000001,-702.86469999999997,-34.920299999999997,300.41289999999998,79.66,72.046499999999995,7.3491999999999997,2.8597000000000001,25.282299999999999,33.442599999999999,1.0104,11.731,11.5228,14.713100000000001,12.5617,0.54249999999999998,6.5094000000000003,4.7488000000000001,16.432700000000001,0,-335.3331,-40.800400000000003,-54.668999999999997,-15.3408,-34.151499999999999,-9.8894000000000002,-55.7423,-35.179299999999998,-5.9302999999999999,-16.146100000000001,-14.9071,-16.474699999999999,-7.1308999999999996,-6.1106999999999996,-3.5556999999999999,-19.3049,0,-143.89930000000001,9.9102999999999994,2.1015999999999999,6.4676999999999998,1.341,0,-153.80959999999999,-85.090699999999998,-68.718900000000005,0,0,22.539300000000001,52.363500000000002,-29.824200000000001,0,0,0,-261.57060000000001,91.094800000000006,92.947400000000002,63.669400000000003,0,29.277999999999999,-1.8526,0,0,-1.8526,-103.8533,151.21510000000001,66.745800000000003,84.310599999999994,0,0.15870000000000001,-255.0684,-22.724399999999999,-232.34399999999999,0,0,-227.58420000000001,679.68010000000004,552.42960000000005,0,127.2505,-907.26430000000005,-597.81880000000001,-4.6875,-304.75799999999998,-7.2474999999999996,0,0,-13.980399999999999,0,0
