mes,cap001,cap002,cap003,cap004,cap005
2003-01,-1871.1958,-153.8059208969909,-161.43522700000005,-1543.4055776853199,-12.549074417689042
2003-02,561.41989999999987,-292.14629999999988,-107.79432700000004,878.41075407096946,82.949772929030303
2003-03,-558.72720000000004,-594.71719999999993,-45.228251999999955,70.23812247677796,10.980129523221741
2003-04,-408.47039999999981,-473.7605999999999,-4.7291940000000636,142.77065065488256,-72.751256654882326
2003-05,-592.89390000000026,-231.50509999999994,23.53540500000004,-530.11957511628543,145.19537011628509
2003-06,-303.94840000000011,-100.98729999999985,64.490209999999934,-283.89139515816822,16.440085158168046
2003-07,360.8059999999997,-246.98302900000004,-78.228652000000011,625.45787522426565,60.559805775734119
2003-08,-246.679517,-560.28809999999999,-25.58161299999999,255.19572234472969,83.994473655270312
2003-09,-770.49130000000014,-656.79470000000003,86.60277099999999,-304.07666598762984,103.77729498762986
2003-10,-1295.9591999999998,-300.18411799999978,-105.999825,-769.99775921115884,-119.77749778884109
2003-11,152.33787500000011,-24.589650000000049,14.298978999999996,182.49684539668814,-19.868299396688005
2003-12,-70.312000000000239,58.518353000000005,-104.35057899999998,7.4058345125662512,-31.885608512566499
2004-01,-107.48799999999994,-247.40012699999994,-96.849267999999995,372.7975361123996,-136.03614111239958
2004-02,-127.62234000000018,19.609400000000029,-205.324029,-221.34519449409987,279.43748349409964
2004-03,-919.56049999999982,-509.9393945307001,-60.203952000000015,-425.56365302110049,76.146499551800773
2004-04,-456.90811995685658,-243.05140000000003,-20.712128,-574.16948600420005,381.02489404734348
2004-05,-383.2743999999999,-102.06999999999992,-59.971603000000016,-770.86974472780025,549.63694772780036
2004-06,-555.10739999999998,-280.36376599999988,36.485554999999998,-595.39564132090015,284.16645232090008
2004-07,-219.85353285954068,-187.02664899999999,34.864568000000006,-271.42393224669979,203.73248038715911
2004-08,-344.38695785805186,-148.60539999999992,-65.333798999999999,-179.67640373630033,49.228644878248389
2004-09,-581.72469999999987,-375.61380000000003,206.15230600000001,-474.62117114329988,62.357965143300028
2004-10,-346.83790000000033,-144.53640000000004,125.32524599999999,-322.81569502000008,-4.8110509800001893
2004-11,-221.98689999999999,221.64470000000006,-141.871871,-256.10634739259945,-45.653381607400519
2004-12,-580.09690000000001,-1.0454029999998546,79.023847000000004,-506.45580742190009,-151.61953657810002
2005-01,-75.087300000000027,-9.0839450000000674,105.33720300000002,-591.92720624239962,420.58664824239975
2005-02,44.77940000000001,244.72320000000002,23.275203999999999,-993.68437162240002,770.46536762240009
2005-03,-1494.6557000000003,242.42829999999995,-813.66181600000016,-1214.5845213455,291.16233734550008
2005-04,-688.82909999999958,-281.70229999999998,-2.3508460000000042,-964.26107835300036,559.48512435300074
2005-05,-21.969100000000026,412.27840000000009,-9.3805080000000061,-917.12160044009988,492.25460844009984
2005-06,-83.755999999999517,455.28770000000009,-31.502904000000015,-819.10490718450001,311.56411118450046
2005-07,734.70749999999998,511.25592600000004,-160.71791000000002,-1151.9313272741983,1536.1008112741983
2005-08,-271.20949999999999,624.83930000000009,-144.45462900000001,-1338.0305181454992,586.43634714549921
2005-09,88.9174000000001,595.97789999999998,-75.897154,-554.64451808469971,123.48117208469989
2005-10,498.16419999999994,190.60969999999995,-286.111538,598.5985558542003,-4.9325178542004267
2005-11,-241.8805999999999,21.861655999999869,58.623158999999994,-322.2705989694997,-9.481603049995968E-2
2005-12,877.77049999999974,-45.743200000000158,97.849964,805.59570600030031,20.068029999699437
2006-01,-9279.8145000000004,-257.69470000000001,225.53680299999999,-9353.9607968318996,106.30419383190059
2006-02,533.08130000000006,194.78050000000013,11.661196000000004,42.020956634200132,284.6186473657998
2006-03,-99.941000000000031,-8.6596999999999298,-51.823247000000002,-241.98288692839975,202.52483392839974
2006-04,-489.43610000000024,7.3257999999999841,86.539938000000006,-551.15268717889978,-32.14915082110052
2006-05,142.58789999999976,122.72559999999994,-357.86615700000004,361.80539223740044,15.923064762599331
2006-06,312.85559999999987,-102.2942000000001,-45.749343000000003,545.92261291830062,-85.023469918300563
2006-07,-484.4896,18.379500000000036,162.61997000000002,922.09628681450022,-1587.5853568145003
2006-08,481.53100000000018,117.09719999999999,91.824138000000005,-1890.3637810954001,2162.9734430954004
2006-09,245.31700000000029,124.65530000000007,-86.300824000000006,174.16658274809947,32.795941251900707
2006-10,51.214999999999804,161.5440999999997,-314.69660899999997,-106.39872766049979,310.76623666049977
2006-11,143.17315656888718,99.222399999999922,-190.45854999999997,801.47556026759992,-567.06625369871267
2006-12,997.32699999999977,40.523500000000048,1.462750999999999,231.32992522879962,724.01082377120008
2007-01,413.33068167401598,110.72809999999996,68.434174000000013,588.03177931420009,-353.86337164018414
