codigo,columna_excel,encabezado_original
cap001,B,"BALANCE CAMBIARIO, Serie_mensual (1), equivalente en dólares estadounidenses / Total"
cap002,C,CUENTA FINANCIERA / Sector Privado No Financiero
cap003,D,Sector Financiero
cap004,E,Gobierno General y BCRA
cap005,F,Otros movimientos netos
