id,descripcion,categoria,unidad
94,Cuentas corrientes del sector privado no financiero ,Series.xlsm,En millones de ARS
95,Cajas de ahorro del sector privado no financiero ,Series.xlsm,En millones de ARS
96,Depósitos a plazo no ajustables por CER/UVAS del sector privado no financiero ,Series.xlsm,En millones de ARS
97,Depósitos a plazo ajustables por CER/UVAS del sector privado no financiero ,Series.xlsm,En millones de ARS
98,Otros depósitos del sector privado no financiero,Series.xlsm,En millones de ARS
99,Cedros con cer del sector privado no financiero ,Series.xlsm,En millones de ARS
100,Depósitos del sector privado no financiero (incluye cedros),Series.xlsm,En millones de ARS
101,BODEN del sector privado no financiero ,Series.xlsm,En millones de ARS
102,Depósitos del sector privado no financiero (incluye cedro y BODEN),Series.xlsm,En millones de ARS
103,Depósitos  de los sectores público y privado no financieros,Series.xlsm,En millones de ARS
104,Depósitos del sector privado no financiero,Series.xlsm,En millones de ARS
105,Depósitos  de los sectores público y privado no financieros,Series.xlsm,En millones de ARS
106,Depósitos del sector privado no financiero,Series.xlsm,En millones de ARS
107,Depósitos  de los sectores público y privado no financieros,Series.xlsm,En millones de USD
108,Depósitos del sector privado no financiero,Series.xlsm,En millones de USD
109,M2 ,Series.xlsm,En millones de ARS
110,Préstamos otorgados mediante adelantos en cuenta al sector privado ,Series.xlsm,En millones de ARS
111,Préstamos otorgados mediante documentos al sector privado ,Series.xlsm,En millones de ARS
112,Préstamos hipotecaríos otorgados al sector privado,Series.xlsm,En millones de ARS
113,Préstamos prendaríos otorgados al sector privado,Series.xlsm,En millones de ARS
114,Préstamos personales otorgados al sector privado,Series.xlsm,En millones de ARS
115,Préstamos mediante tarjeta de créditos otorgados al sector privado,Series.xlsm,En millones de ARS
116,Otros préstamos otorgados al sector privado,Series.xlsm,En millones de ARS
117,Préstamos otorgados al sector privado ,Series.xlsm,En millones de ARS
118,Préstamos en cuenta corriente otorgados al sector privado ,Series.xlsm,En millones de USD
119,Préstamos documentaríos otorgados al sector privado,Series.xlsm,En millones de USD
120,Préstamos hipotecaríos otorgados al sector privado,Series.xlsm,En millones de USD
121,Préstamos prendaríos otorgados al sector privado,Series.xlsm,En millones de USD
122,Préstamos personales otorgados al sector privado,Series.xlsm,En millones de USD
123,Préstamos en tarjeta de créditos otorgados al sector privado,Series.xlsm,En millones de USD
124,Otros préstamos otorgados al sector privado,Series.xlsm,En millones de USD
125,Préstamos otorgados al sector privado ,Series.xlsm,En millones de USD
126,Préstamos otorgados al sector privado ,Series.xlsm,En millones de ARS
127,Préstamos otorgados al sector privado ,Series.xlsm,En millones de ARS
135,Tasa de interés TAMAR de bancos públicos y privados,Series.xlsm,En porcentaje nominal anual
136,Tasa de interés TAMAR de bancos privados,Series.xlsm,En porcentaje nominal anual
137,Tasa de interés TAMAR de bancos privados,Series.xlsm,En porcentaje efectivo anual
138,Tasa de interés BADLAR de bancos públicos y privados,Series.xlsm,En porcentaje nominal anual
139,Tasa de interés BADLAR de bancos privados,Series.xlsm,En porcentaje nominal anual
140,Tasa de interés BADLAR de bancos privados,Series.xlsm,En porcentaje efectivo anual
141,Tasa de interés TM20 de bancos públicos y privados,Series.xlsm,En porcentaje nominal anual
142,Tasa de interésTM20 de bancos privados,Series.xlsm,En porcentaje nominal anual
143,Tasa de interés TM20 de bancos privados,Series.xlsm,En porcentaje efectivo anual
144,Tasa de interés de préstamos personales otorgados al sector privado,Series.xlsm,En porcentaje nominal anual
145,"Tasa de interés de adelantos en cuenta corriente, con acuerdo de 1 a 7 días y de 10 millones o más, a empresas del sector privado",Series.xlsm,En porcentaje nominal anual
146,Tasa de interés de préstamos entre bancos privados (BAIBAR),Series.xlsm,En porcentaje nominal anual
147,Préstamos entre bancos privados (BAIBAR),Series.xlsm,En millones de ARS
148,Tasa de interés de préstamos entre entidades financieras locales,Series.xlsm,En porcentaje nominal anual
149,Préstamos entre entidades financieras locales ,Series.xlsm,En millones de ARS
150,Tasa de interés por operaciones de pases entre terceros a 1 día,Series.xlsm,En porcentaje nominal anual
151,Operaciones de pases entre terceros a 1 día,Series.xlsm,En millones de ARS
152,Pases pasivos para el BCRA (incluye pases pasivos con fci),Series.xlsm,En millones de ARS
153,Pases pasivos para el BCRA con fondos comunes de inversión,Series.xlsm,En millones de ARS
154,Pases activos para el BCRA,Series.xlsm,En millones de ARS
155,LELIQ y NOTALQ,Series.xlsm,En millones de ARS
156,"LEBAC y NOBAC , LEGAR y LEMIN ",Series.xlsm,En millones de ARS
157,LEBAC y NOBAC  de entidades financieras ,Series.xlsm,En millones de ARS
158,"LEBAC, LEDIV y BOPREAL",Series.xlsm,En millones de USD
159,NOCOM ,Series.xlsm,En millones de ARS
160,Tasas de interés de política monetaria,Series.xlsm,En porcentaje nominal anual
161,Tasas de interés de política monetaria,Series.xlsm,En porcentaje efectivo anual
162,Tasa de interés por pases pasivos para el BCRA a 1 día,Series.xlsm,En porcentaje nominal anual
163,Tasa de interés por pases pasivos para el BCRA a 7 días,Series.xlsm,En porcentaje nominal anual
164,Tasa de interés por pases activos para el BCRA a 1 día,Series.xlsm,En porcentaje nominal anual
165,Tasa de interés por pases activos para el BCRA a 7 días,Series.xlsm,En porcentaje nominal anual
