id,descripcion,categoria,unidad
338,Total de préstamos a la provincia de Chubut,Préstamos por tipo de titular,En miles de ARS
339,Total de depósitos de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
340,Utilización de fondos unificados de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
341,Total de préstamos a la provincia de Entre Ríos,Préstamos por tipo de titular,En miles de ARS
342,Total de depósitos de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
343,Utilización de fondos unificados de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
344,Total de préstamos a la provincia de Formosa,Préstamos por tipo de titular,En miles de ARS
345,Total de depósitos de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
346,Utilización de fondos unificados de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
347,Total de préstamos a la provincia de Jujuy,Préstamos por tipo de titular,En miles de ARS
348,Total de depósitos de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
349,Utilización de fondos unificados de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
350,Total de préstamos a la provincia de La Pampa,Préstamos por tipo de titular,En miles de ARS
351,Total de depósitos de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
352,Utilización de fondos unificados de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
353,Total de préstamos a la provincia de La Rioja,Préstamos por tipo de titular,En miles de ARS
354,Total de depósitos de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
355,Utilización de fondos unificados de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
356,Total de préstamos a la provincia de Mendoza,Préstamos por tipo de titular,En miles de ARS
357,Total de depósitos de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
358,Utilización de fondos unificados de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
359,Total de préstamos a la provincia de Misiones,Préstamos por tipo de titular,En miles de ARS
360,Total de depósitos de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
361,Utilización de fondos unificados de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
362,Total de préstamos a la provincia de Neuquén,Préstamos por tipo de titular,En miles de ARS
363,Total de depósitos de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
364,Utilización de fondos unificados de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
365,Total de préstamos a la provincia de Rio Negro,Préstamos por tipo de titular,En miles de ARS
366,Total de depósitos de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
367,Utilización de fondos unificados de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
368,Total de préstamos a la provincia de Salta,Préstamos por tipo de titular,En miles de ARS
369,Total de depósitos de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
370,Utilización de fondos unificados de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
371,Total de préstamos a la provincia de San Juan,Préstamos por tipo de titular,En miles de ARS
372,Total de depósitos de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
373,Utilización de fondos unificados de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
374,Total de préstamos a la provincia de San Luis,Préstamos por tipo de titular,En miles de ARS
375,Total de depósitos de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
376,Utilización de fondos unificados de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
377,Total de préstamos a la provincia de Santa Cruz,Préstamos por tipo de titular,En miles de ARS
378,Total de depósitos de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
379,Utilización de fondos unificados de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
380,Total de préstamos a la provincia de Santa Fe,Préstamos por tipo de titular,En miles de ARS
381,Total de depósitos de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
382,Utilización de fondos unificados de la provincia de Santiago del Estero,Préstamos por tipo de titular,En miles de ARS
383,Total de préstamos a la provincia de Santiago del Estero,Préstamos por tipo de titular,En miles de ARS
384,Total de depósitos de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
385,Utilización de fondos unificados de la provincia de Tierra del Fuego,Préstamos por tipo de titular,En miles de ARS
386,Total de préstamos a la provincia de Tierra del Fuego,Préstamos por tipo de titular,En miles de ARS
387,Total de depósitos de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
388,Utilización de fondos unificados de la provincia de Tucumán,Préstamos por tipo de titular,En miles de ARS
389,Total de préstamos a la provincia de Tucumán,Préstamos por tipo de titular,En miles de ARS
390,Total de depósitos de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
391,Depósitos en cuentas corrientes de la Ciudad Autónoma de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
392,Depósitos en caja de ahorros de la Ciudad Autónoma de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
393,Depósitos a plazo fijo de la Ciudad Autónoma de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
394,Depósitos en cuentas corrientes de la provincia de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
395,Depósitos en caja de ahorros de la provincia de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
396,Depósitos a plazo fijo de la provincia de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
397,Depósitos en cuentas corrientes de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
398,Depósitos en caja de ahorros de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
399,Depósitos a plazo fijo de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
400,Depósitos en cuentas corrientes de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
401,Depósitos en caja de ahorros de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
402,Depósitos a plazo fijo de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
403,Depósitos en cuentas corrientes de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
404,Depósitos en caja de ahorros de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
405,Depósitos a plazo fijo de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
406,Depósitos en cuentas corrientes de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
407,Depósitos en caja de ahorros de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
408,Depósitos a plazo fijo de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
409,Depósitos en cuentas corrientes de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
410,Depósitos en caja de ahorros de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
411,Depósitos a plazo fijo de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
412,Depósitos en cuentas corrientes de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
413,Depósitos en caja de ahorros de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
414,Depósitos a plazo fijo de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
415,Depósitos en cuentas corrientes de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
416,Depósitos en caja de ahorros de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
417,Depósitos a plazo fijo de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
418,Depósitos en cuentas corrientes de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
419,Depósitos en caja de ahorros de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
420,Depósitos a plazo fijo de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
421,Depósitos en cuentas corrientes de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
422,Depósitos en caja de ahorros de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
423,Depósitos a plazo fijo de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
424,Depósitos en cuentas corrientes de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
425,Depósitos en caja de ahorros de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
426,Depósitos a plazo fijo de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
427,Depósitos en cuentas corrientes de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
428,Depósitos en caja de ahorros de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
429,Depósitos a plazo fijo de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
430,Depósitos en cuentas corrientes de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
431,Depósitos en caja de ahorros de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
432,Depósitos a plazo fijo de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
433,Depósitos en cuentas corrientes de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
434,Depósitos en caja de ahorros de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
435,Depósitos a plazo fijo de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
436,Depósitos en cuentas corrientes de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
437,Depósitos en caja de ahorros de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
438,Depósitos a plazo fijo de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
439,Depósitos en cuentas corrientes de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
440,Depósitos en caja de ahorros de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
441,Depósitos a plazo fijo de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
442,Depósitos en cuentas corrientes de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
443,Depósitos en caja de ahorros de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
444,Depósitos a plazo fijo de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
445,Depósitos en cuentas corrientes de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
446,Depósitos en caja de ahorros de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
447,Depósitos a plazo fijo de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
448,Depósitos en cuentas corrientes de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
449,Depósitos en caja de ahorros de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
450,Depósitos a plazo fijo de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
451,Depósitos en cuentas corrientes de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
452,Depósitos en caja de ahorros de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
453,Depósitos a plazo fijo de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
454,Depósitos en cuentas corrientes de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
455,Depósitos en caja de ahorros de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
456,Depósitos a plazo fijo de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
457,Depósitos en cuentas corrientes de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
458,Depósitos en caja de ahorros de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
459,Depósitos a plazo fijo de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
460,Depósitos en cuentas corrientes de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
461,Depósitos en caja de ahorros de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
462,Depósitos a plazo fijo de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
463,Total de préstamos a la Ciudad Autónoma de Buenos Aires,Préstamos por tipo de titular,En miles de ARS
464,Total de depósitos de la Ciudad Autónoma de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
465,Total de préstamos a la provincia de Buenos Aires,Préstamos por tipo de titular,En miles de ARS
466,Total de depósitos de la provincia de Buenos Aires,Depósitos por tipo de titular,En miles de ARS
467,Total de préstamos a la provincia de Catamarca,Préstamos por tipo de titular,En miles de ARS
468,Total de depósitos de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
469,Total de préstamos a la provincia de Córdoba,Préstamos por tipo de titular,En miles de ARS
470,Total de depósitos de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
471,Total de préstamos a la provincia de Corrientes,Préstamos por tipo de titular,En miles de ARS
472,Total de depósitos de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
473,Total de préstamos a la provincia de Chaco,Préstamos por tipo de titular,En miles de ARS
474,Total de depósitos de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
475,Total de préstamos a la provincia de Chubut,Préstamos por tipo de titular,En miles de ARS
476,Total de depósitos de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
477,Total de préstamos a la provincia de Entre Ríos,Préstamos por tipo de titular,En miles de ARS
478,Total de depósitos de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
479,Total de préstamos a la provincia de Formosa,Préstamos por tipo de titular,En miles de ARS
480,Total de depósitos de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
481,Total de préstamos a la provincia de Jujuy,Préstamos por tipo de titular,En miles de ARS
482,Total de depósitos de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
483,Total de préstamos a la provincia de La Pampa,Préstamos por tipo de titular,En miles de ARS
484,Total de depósitos de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
485,Total de préstamos a la provincia de La Rioja,Préstamos por tipo de titular,En miles de ARS
486,Total de depósitos de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
487,Total de préstamos a la provincia de Mendoza,Préstamos por tipo de titular,En miles de ARS
488,Total de depósitos de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
489,Total de préstamos a la provincia de Misiones,Préstamos por tipo de titular,En miles de ARS
490,Total de depósitos de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
491,Total de préstamos a la provincia de Neuquén,Préstamos por tipo de titular,En miles de ARS
492,Total de depósitos de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
493,Total de préstamos a la provincia de Rio Negro,Préstamos por tipo de titular,En miles de ARS
494,Total de depósitos de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
495,Total de préstamos a la provincia de Salta,Préstamos por tipo de titular,En miles de ARS
496,Total de depósitos de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
497,Total de préstamos a la provincia de San Juan,Préstamos por tipo de titular,En miles de ARS
498,Total de depósitos de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
499,Total de préstamos a la provincia de San Luis,Préstamos por tipo de titular,En miles de ARS
500,Total de depósitos de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
501,Total de préstamos a la provincia de Santa Cruz,Préstamos por tipo de titular,En miles de ARS
502,Total de depósitos de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
503,Total de préstamos a la provincia de Santa Fe,Préstamos por tipo de titular,En miles de ARS
504,Total de depósitos de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
505,Total de préstamos a la provincia de Santiago del Estero,Préstamos por tipo de titular,En miles de ARS
506,Total de depósitos de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
507,Total de préstamos a la provincia de Tierra del Fuego,Préstamos por tipo de titular,En miles de ARS
508,Total de depósitos de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
509,Total de préstamos a la provincia de Tucumán,Préstamos por tipo de titular,En miles de ARS
510,Total de depósitos de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
511,Total de préstamos a municipios de la PBA,Préstamos por tipo de titular,En miles de ARS
512,Total de depósitos de municipios de la PBA,Depósitos por tipo de titular,En miles de ARS
513,Total de préstamos a municipios de GBA,Préstamos por tipo de titular,En miles de ARS
514,Total de depósitos de municipios de GBA,Depósitos por tipo de titular,En miles de ARS
515,Total de préstamos a municipios de la PBA no incluidos en el GBA,Préstamos por tipo de titular,En miles de ARS
516,Total de depósitos municipios de la PBA no incluidos en GBA,Depósitos por tipo de titular,En miles de ARS
517,Total de préstamos a municipios de la provincia de Catamarca,Préstamos por tipo de titular,En miles de ARS
518,Total de depósitos de municipios de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
519,Total de préstamos a municipios de la provincia de Córdoba,Préstamos por tipo de titular,En miles de ARS
520,Total de depósitos de municipios de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
521,Total de préstamos a municipios de la provincia de Corrientes,Préstamos por tipo de titular,En miles de ARS
522,Total de depósitos de municipios de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
523,Total de préstamos a municipios de la provincia de Chaco,Préstamos por tipo de titular,En miles de ARS
524,Total de depósitos de municipios de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
525,Total de préstamos a municipios de la provincia de Chubut,Préstamos por tipo de titular,En miles de ARS
526,Total de depósitos de municipios de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
527,Total de préstamos a municipios de la provincia de Entre Ríos,Préstamos por tipo de titular,En miles de ARS
528,Total de depósitos de municipios de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
529,Total de préstamos a municipios de la provincia de Formosa,Préstamos por tipo de titular,En miles de ARS
530,Total de depósitos de municipios de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
531,Total de préstamos a municipios de la provincia de Jujuy,Préstamos por tipo de titular,En miles de ARS
532,Total de depósitos de municipios de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
533,Total de préstamos a municipios de la provincia de La Pampa,Préstamos por tipo de titular,En miles de ARS
534,Total de depósitos de municipios de la provincia de La Pampa,Depósitos por tipo de titular,En miles de ARS
535,Total de préstamos a municipios de la provincia de La Rioja,Préstamos por tipo de titular,En miles de ARS
536,Total de depósitos de municipios de la provincia de La Rioja,Depósitos por tipo de titular,En miles de ARS
537,Total de préstamos a municipios de la provincia de Mendoza,Préstamos por tipo de titular,En miles de ARS
538,Total de depósitos de municipios de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
539,Total de préstamos a municipios de la provincia de Misiones,Préstamos por tipo de titular,En miles de ARS
540,Total de depósitos de municipios de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
541,Total de préstamos a municipios de la provincia de Neuquén,Préstamos por tipo de titular,En miles de ARS
542,Total de depósitos de municipios de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
543,Total de préstamos a municipios de la provincia de Rio Negro,Préstamos por tipo de titular,En miles de ARS
544,Total de depósitos de municipios de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
545,Total de préstamos a municipios de la provincia de Salta,Préstamos por tipo de titular,En miles de ARS
546,Total de depósitos de municipios de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
547,Total de préstamos a municipios de la provincia de San Juan,Préstamos por tipo de titular,En miles de ARS
548,Total de depósitos de municipios de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
549,Total de préstamos a municipios de la provincia de San Luis,Préstamos por tipo de titular,En miles de ARS
550,Total de depósitos de municipios de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
551,Total de préstamos a municipios de la provincia de Santa Cruz,Préstamos por tipo de titular,En miles de ARS
552,Total de depósitos de municipios de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
553,Total de préstamos a municipios de la provincia de Santa Fe,Préstamos por tipo de titular,En miles de ARS
554,Total de depósitos de municipios de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
555,Total de préstamos a municipios de la provincia de Santiago del Estero,Préstamos por tipo de titular,En miles de ARS
556,Total de depósitos de municipios de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
557,Total de préstamos a municipios de la provincia de Tierra del Fuego,Préstamos por tipo de titular,En miles de ARS
558,Total de depósitos de municipios de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
559,Total de préstamos a municipios de la provincia de Tucumán,Préstamos por tipo de titular,En miles de ARS
560,Total de depósitos de municipios de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
561,Depósitos en cuentas corrientes de municipios de la PBA,Depósitos por tipo de titular,En miles de ARS
562,Depósitos en caja de ahorros de municipios de la PBA,Depósitos por tipo de titular,En miles de ARS
563,Depósitos en plazo fijo de municipios de la PBA,Depósitos por tipo de titular,En miles de ARS
564,Depósitos en cuentas corrientes de municipios del GBA,Depósitos por tipo de titular,En miles de ARS
565,Depósitos en caja de ahorros de municipios del GBA,Depósitos por tipo de titular,En miles de ARS
566,Depósitos en plazo fijo de municipios del GBA,Depósitos por tipo de titular,En miles de ARS
567,Depósitos en cuentas corrientes de municipios de la PBA no incluidos en GBA,Depósitos por tipo de titular,En miles de ARS
568,Depósitos en caja de ahorros de municipios no incluidos en GBA,Depósitos por tipo de titular,En miles de ARS
569,Depósitos a plazo fijo de municipios no incluidos en el GBA,Depósitos por tipo de titular,En miles de ARS
570,Depósitos en cuentas corrientes de municipios de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
571,Depósitos en caja de ahorros de municipios de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
572,Depósitos a plazo fijo de municipios de la provincia de Catamarca,Depósitos por tipo de titular,En miles de ARS
573,Depósitos en cuentas corrientes de municipios de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
574,Depósitos en caja de ahorros de municipios de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
575,Depósitos a plazo fijo de municipios de la provincia de Córdoba,Depósitos por tipo de titular,En miles de ARS
576,Depósitos en cuentas corrientes de municipios de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
577,Depósitos en caja de ahorros de municipios de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
578,Depósitos a plazo fijo de municipios de la provincia de Corrientes,Depósitos por tipo de titular,En miles de ARS
579,Depósitos en cuentas corrientes de municipios de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
580,Depósitos en caja de ahorros de municipios de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
581,Depósitos a plazo fijo de municipios de la provincia de Chaco,Depósitos por tipo de titular,En miles de ARS
582,Depósitos en cuentas corrientes de municipios de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
583,Depósitos en caja de ahorros de municipios de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
584,Depósitos a plazo fijo de municipios de la provincia de Chubut,Depósitos por tipo de titular,En miles de ARS
585,Depósitos en cuentas corrientes de municipios de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
586,Depósitos en caja de ahorros de municipios de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
587,Depósitos a plazo fijo de municipios de la provincia de Entre Ríos,Depósitos por tipo de titular,En miles de ARS
588,Depósitos en cuentas corrientes de municipios de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
589,Depósitos en caja de ahorros de municipios de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
590,Depósitos a plazo fijo de municipios de la provincia de Formosa,Depósitos por tipo de titular,En miles de ARS
591,Depósitos en cuentas corrientes de municipios de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
592,Depósitos en caja de ahorros de municipios de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
593,Depósitos a plazo fijo de municipios de la provincia de Jujuy,Depósitos por tipo de titular,En miles de ARS
594,Depósitos en cuentas corrientes de municipios de la provincia de la Pampa,Depósitos por tipo de titular,En miles de ARS
595,Depósitos en caja de ahorros de municipios de la provincia de la Pampa,Depósitos por tipo de titular,En miles de ARS
596,Depósitos a plazo fijo de municipios de la provincia de la Pampa,Depósitos por tipo de titular,En miles de ARS
597,Depósitos en cuentas corrientes de municipios de la provincia de la Rioja,Depósitos por tipo de titular,En miles de ARS
598,Depósitos en caja de ahorros de municipios de la provincia de la Rioja,Depósitos por tipo de titular,En miles de ARS
599,Depósitos a plazo fijo de municipios de la provincia de la Rioja,Depósitos por tipo de titular,En miles de ARS
600,Depósitos en cuentas corrientes de municipios de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
601,Depósitos en caja de ahorros de municipios de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
602,Depósitos a plazo fijo de municipios de la provincia de Mendoza,Depósitos por tipo de titular,En miles de ARS
603,Depósitos en cuentas corrientes de municipios de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
604,Depósitos en caja de ahorros de municipios de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
605,Depósitos a plazo fijo de municipios de la provincia de Misiones,Depósitos por tipo de titular,En miles de ARS
606,Depósitos en cuentas corrientes de municipios de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
607,Depósitos en caja de ahorros de municipios de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
608,Depósitos a plazo fijo de municipios de la provincia de Neuquén,Depósitos por tipo de titular,En miles de ARS
609,Depósitos en cuentas corrientes de municipios de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
610,Depósitos en caja de ahorros de municipios de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
611,Depósitos a plazo fijo de municipios de la provincia de Rio Negro,Depósitos por tipo de titular,En miles de ARS
612,Depósitos en cuentas corrientes de municipios de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
613,Depósitos en caja de ahorros de municipios de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
614,Depósitos a plazo fijo de municipios de la provincia de Salta,Depósitos por tipo de titular,En miles de ARS
615,Depósitos en cuentas corrientes de municipios de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
616,Depósitos en caja de ahorros de municipios de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
617,Depósitos a plazo fijo de municipios de la provincia de San Juan,Depósitos por tipo de titular,En miles de ARS
618,Depósitos en cuentas corrientes de municipios de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
619,Depósitos en caja de ahorros de municipios de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
620,Depósitos a plazo fijo de municipios de la provincia de San Luis,Depósitos por tipo de titular,En miles de ARS
621,Depósitos en cuentas corrientes de municipios de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
622,Depósitos en caja de ahorros de municipios de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
623,Depósitos a plazo fijo de municipios de la provincia de Santa Cruz,Depósitos por tipo de titular,En miles de ARS
624,Depósitos en cuentas corrientes de municipios de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
625,Depósitos en caja de ahorros de municipios de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
626,Depósitos a plazo fijo de municipios de la provincia de Santa Fe,Depósitos por tipo de titular,En miles de ARS
627,Depósitos en cuentas corrientes de municipios de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
628,Depósitos en caja de ahorros de municipios de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
629,Depósitos a plazo fijo de municipios de la provincia de Santiago del Estero,Depósitos por tipo de titular,En miles de ARS
630,Depósitos en cuentas corrientes de municipios de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
631,Depósitos en caja de ahorros de municipios de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
632,Depósitos a plazo fijo de municipios de la provincia de Tierra del Fuego,Depósitos por tipo de titular,En miles de ARS
633,Depósitos en cuentas corrientes de municipios de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
634,Depósitos en caja de ahorros de municipios de la provincia de Tucumán,Depósitos por tipo de titular,En miles de ARS
