fecha,id,valor
2003-01-23,81,-10.3
2003-01-23,107,860.0
2003-01-23,108,673.0
2003-01-23,118,217.0
2003-01-23,119,594.0
2003-01-23,120,27.0
2003-01-23,121,29.0
2003-01-23,122,1.0
2003-01-23,123,14.0
2003-01-23,124,490.0
2003-01-23,125,1372.0
2003-01-23,158,0.0
2003-01-24,77,-21.84
2003-01-24,78,18.7
2003-01-24,81,1.8
2003-01-24,107,870.0
2003-01-24,108,680.0
2003-01-24,118,220.0
2003-01-24,119,592.0
2003-01-24,120,27.0
2003-01-24,121,29.0
2003-01-24,122,1.0
2003-01-24,123,15.0
2003-01-24,124,490.0
2003-01-24,125,1374.0
2003-01-24,158,0.0
2003-01-27,77,1016.97
2003-01-27,78,-8.79
2003-01-27,81,0.1
2003-01-27,107,869.0
2003-01-27,108,679.0
2003-01-27,118,222.0
2003-01-27,119,594.0
2003-01-27,120,27.0
2003-01-27,121,29.0
2003-01-27,122,1.0
2003-01-27,123,15.0
2003-01-27,124,491.0
2003-01-27,125,1379.0
2003-01-27,158,0.0
2003-01-28,77,1.9
2003-01-28,78,3.24
2003-01-28,81,-1.7
2003-01-28,107,867.0
2003-01-28,108,667.0
2003-01-28,118,220.0
2003-01-28,119,598.0
2003-01-28,120,27.0
2003-01-28,121,29.0
2003-01-28,122,1.0
2003-01-28,123,16.0
2003-01-28,124,496.0
2003-01-28,125,1387.0
2003-01-28,158,0.0
2003-01-29,77,66.21
2003-01-29,78,-0.44
2003-01-29,81,3.1
2003-01-29,107,865.0
2003-01-29,108,665.0
2003-01-29,118,222.0
2003-01-29,119,595.0
2003-01-29,120,27.0
2003-01-29,121,29.0
2003-01-29,122,1.0
2003-01-29,123,16.0
2003-01-29,124,492.0
2003-01-29,125,1382.0
2003-01-29,158,0.0
2003-01-30,77,4.15
2003-01-30,78,6.58
2003-01-30,81,-5.9
2003-01-30,107,867.0
2003-01-30,108,667.0
2003-01-30,118,217.0
2003-01-30,119,591.0
2003-01-30,120,27.0
2003-01-30,121,29.0
2003-01-30,122,1.0
2003-01-30,123,16.0
2003-01-30,124,499.0
2003-01-30,125,1380.0
2003-01-30,158,0.0
2003-01-31,77,-8.92
2003-01-31,78,6.97
2003-01-31,81,-12.3
2003-01-31,107,874.0
2003-01-31,108,674.0
2003-01-31,118,158.0
2003-01-31,119,647.0
2003-01-31,120,25.0
2003-01-31,121,28.0
2003-01-31,122,1.0
2003-01-31,123,17.0
2003-01-31,124,534.0
2003-01-31,125,1410.0
2003-01-31,158,0.0
2003-02-03,77,-17.86
2003-02-03,78,10.35
2003-02-03,81,8.2
2003-02-03,107,870.0
2003-02-03,108,671.0
2003-02-03,118,188.0
2003-02-03,119,609.0
2003-02-03,120,27.0
2003-02-03,121,29.0
2003-02-03,122,1.0
2003-02-03,123,17.0
2003-02-03,124,492.0
2003-02-03,125,1363.0
2003-02-03,158,0.0
2003-02-04,77,-17.43
2003-02-04,78,17.2
2003-02-04,81,0.0
2003-02-04,107,878.0
2003-02-04,108,679.0
2003-02-04,118,190.0
2003-02-04,119,608.0
2003-02-04,120,27.0
2003-02-04,121,29.0
2003-02-04,122,1.0
2003-02-04,123,16.0
2003-02-04,124,502.0
2003-02-04,125,1373.0
2003-02-04,158,0.0
2003-02-05,77,15.43
2003-02-05,78,14.05
2003-02-05,81,-2.8
2003-02-05,107,877.0
2003-02-05,108,679.0
2003-02-05,118,188.0
2003-02-05,119,633.0
2003-02-05,120,27.0
2003-02-05,121,29.0
2003-02-05,122,1.0
2003-02-05,123,17.0
2003-02-05,124,492.0
2003-02-05,125,1387.0
2003-02-05,158,0.0
2003-02-06,77,14.0
2003-02-06,78,8.99
2003-02-06,81,5.3
2003-02-06,107,879.0
2003-02-06,108,686.0
2003-02-06,118,188.0
2003-02-06,119,631.0
2003-02-06,120,27.0
2003-02-06,121,29.0
2003-02-06,122,1.0
2003-02-06,123,16.0
2003-02-06,124,490.0
2003-02-06,125,1382.0
2003-02-06,158,0.0
2003-02-07,77,-109.54
2003-02-07,78,19.15
2003-02-07,81,0.0
2003-02-07,107,879.0
2003-02-07,108,687.0
2003-02-07,118,190.0
2003-02-07,119,641.0
2003-02-07,120,27.0
2003-02-07,121,28.0
2003-02-07,122,1.0
2003-02-07,123,16.0
2003-02-07,124,491.0
2003-02-07,125,1394.0
2003-02-07,158,0.0
2003-02-10,77,22.14
2003-02-10,78,22.99
2003-02-10,81,0.0
2003-02-10,107,874.0
2003-02-10,108,682.0
2003-02-10,118,191.0
2003-02-10,119,642.0
2003-02-10,120,27.0
2003-02-10,121,28.0
2003-02-10,122,2.0
2003-02-10,123,17.0
2003-02-10,124,492.0
2003-02-10,125,1399.0
2003-02-10,158,0.0
2003-02-11,77,23.69
2003-02-11,78,21.52
2003-02-11,81,11.5
2003-02-11,107,879.0
2003-02-11,108,688.0
2003-02-11,118,191.0
2003-02-11,119,641.0
2003-02-11,120,27.0
2003-02-11,121,28.0
2003-02-11,122,1.0
2003-02-11,123,16.0
2003-02-11,124,492.0
2003-02-11,125,1396.0
2003-02-11,158,0.0
2003-02-12,77,-20.23
2003-02-12,78,20.32
2003-02-12,81,0.3
2003-02-12,107,890.0
2003-02-12,108,691.0
2003-02-12,118,191.0
2003-02-12,119,642.0
2003-02-12,120,27.0
2003-02-12,121,28.0
2003-02-12,122,1.0
2003-02-12,123,15.0
2003-02-12,124,494.0
2003-02-12,125,1398.0
2003-02-12,158,0.0
2003-02-13,77,55.4
2003-02-13,78,16.24
2003-02-13,81,37.8
2003-02-13,107,887.0
2003-02-13,108,691.0
2003-02-13,118,192.0
2003-02-13,119,659.0
2003-02-13,120,27.0
2003-02-13,121,28.0
2003-02-13,122,1.0
2003-02-13,123,14.0
2003-02-13,124,494.0
2003-02-13,125,1415.0
2003-02-13,158,0.0
2003-02-14,77,149.1
2003-02-14,78,7.71
2003-02-14,81,4.5
2003-02-14,107,887.0
2003-02-14,108,692.0
2003-02-14,118,189.0
2003-02-14,119,660.0
2003-02-14,120,27.0
2003-02-14,121,28.0
2003-02-14,122,1.0
2003-02-14,123,14.0
2003-02-14,124,499.0
2003-02-14,125,1418.0
2003-02-14,158,0.0
2003-02-17,77,-1.39
2003-02-17,78,-0.6
2003-02-17,81,0.0
2003-02-17,107,892.0
2003-02-17,108,696.0
2003-02-17,118,191.0
2003-02-17,119,659.0
2003-02-17,120,27.0
2003-02-17,121,28.0
2003-02-17,122,1.0
2003-02-17,123,14.0
2003-02-17,124,495.0
2003-02-17,125,1415.0
2003-02-17,158,0.0
2003-02-18,77,-5.29
2003-02-18,78,22.4
2003-02-18,81,8.7
2003-02-18,107,927.0
2003-02-18,108,697.0
2003-02-18,118,191.0
2003-02-18,119,663.0
2003-02-18,120,27.0
2003-02-18,121,28.0
2003-02-18,122,1.0
2003-02-18,123,14.0
2003-02-18,124,489.0
2003-02-18,125,1413.0
2003-02-18,158,0.0
2003-02-19,77,761.72
